Código,Descrição,Divisão,Carga de Incêndio,Descrição original
C-02-1,"a varejo de automóveis, camionetas e utilitários usados, Comércio",C-1,200,"Comércio a varejo de automóveis, camionetas e utilitários usados"
C-02-2,"Comércio, a varejo de automóveis, camionetas e utilitários usados",C-1,200,"Comércio a varejo de automóveis, camionetas e utilitários usados"
C-02-3,"Comércio a varejo de automóveis, camionetas e utilitários usados",C-1,200,"Comércio a varejo de automóveis, camionetas e utilitários usados"
C-03-0,"Comércio por atacado de automóveis, camionetas e utilitários novos e usados",C-1,300,
C-03-1,"por atacado de automóveis, camionetas e utilitários novos e usados, Comércio",C-1,300,"Comércio por atacado de automóveis, camionetas e utilitários novos e usados"
C-03-2,"Comércio, por atacado de automóveis, camionetas e utilitários novos e usados",C-1,300,"Comércio por atacado de automóveis, camionetas e utilitários novos e usados"
C-03-3,"Comércio por atacado de automóveis, camionetas e utilitários novos e usados",C-1,300,"Comércio por atacado de automóveis, camionetas e utilitários novos e usados"
C-04-0,Comércio por atacado de caminhões novos e usados,C-1,300,
C-04-1,"por atacado de caminhões novos e usados, Comércio",C-1,300,Comércio por atacado de caminhões novos e usados
C-04-2,"Comércio, por atacado de caminhões novos e usados",C-1,300,Comércio por atacado de caminhões novos e usados
C-04-3,Comércio por atacado de caminhões novos e usados,C-1,300,Comércio por atacado de caminhões novos e usados
C-05-0,Comércio por atacado de reboques e semirreboques novos e usados,C-1,300,
C-05-1,"por atacado de reboques e semirreboques novos e usados, Comércio",C-1,300,Comércio por atacado de reboques e semirreboques novos e usados
C-05-2,"Comércio, por atacado de reboques e semirreboques novos e usados",C-1,300,Comércio por atacado de reboques e semirreboques novos e usados
C-05-3,Comércio por atacado de reboques e semirreboques novos e usados,C-1,300,Comércio por atacado de reboques e semirreboques novos e usados
C-06-0,Comércio por atacado de ônibus e microônibus novos e usados,C-1,300,
C-06-1,"por atacado de ônibus e microônibus novos e usados, Comércio",C-1,300,Comércio por atacado de ônibus e microônibus novos e usados
C-06-2,"Comércio, por atacado de ônibus e microônibus novos e usados",C-1,300,Comércio por atacado de ônibus e microônibus novos e usados
C-06-3,Comércio por atacado de ônibus e microônibus novos e usados,C-1,300,Comércio por atacado de ônibus e microônibus novos e usados
C-07-0,Comércio sob consignação de veículos automotores,C-1,200,
C-07-1,"sob consignação de veículos automotores, Comércio",C-1,200,Comércio sob consignação de veículos automotores
C-07-2,"Comércio, sob consignação de veículos automotores",C-1,200,Comércio sob consignação de veículos automotores
C-07-3,Comércio sob consignação de veículos automotores,C-1,200,Comércio sob consignação de veículos automotores
C-08-0,Comércio por atacado de peças e acessórios novos para veículos automotores,C-1,300,
C-08-1,"por atacado de peças e acessórios novos para veículos automotores, Comércio",C-1,300,Comércio por atacado de peças e acessórios novos para veículos automotores
C-08-2,"Comércio, por atacado de peças e acessórios novos para veículos automotores",C-1,300,Comércio por atacado de peças e acessórios novos para veículos automotores
C-08-3,Comércio por atacado de peças e acessórios novos para veículos automotores,C-1,300,Comércio por atacado de peças e acessórios novos para veículos automotores
C-09-0,Comércio a varejo de peças e acessórios novos para veículos automotores,C-1,300,
C-09-1,"a varejo de peças e acessórios novos para veículos automotores, Comércio",C-1,300,Comércio a varejo de peças e acessórios novos para veículos automotores
C-09-2,"Comércio, a varejo de peças e acessórios novos para veículos automotores",C-1,300,Comércio a varejo de peças e acessórios novos para veículos automotores
C-09-3,Comércio a varejo de peças e acessórios novos para veículos automotores,C-1,300,Comércio a varejo de peças e acessórios novos para veículos automotores
C-10-0,Comércio a varejo de peças e acessórios usados para veículos automotores,C-1,300,
C-10-1,"a varejo de peças e acessórios usados para veículos automotores, Comércio",C-1,300,Comércio a varejo de peças e acessórios usados para veículos automotores
C-10-2,"Comércio, a varejo de peças e acessórios usados para veículos automotores",C-1,300,Comércio a varejo de peças e acessórios usados para veículos automotores
C-10-3,Comércio a varejo de peças e acessórios usados para veículos automotores,C-1,300,Comércio a varejo de peças e acessórios usados para veículos automotores
C-11-0,Comércio por atacado de motocicletas e motonetas,C-1,300,
C-11-1,"por atacado de motocicletas e motonetas, Comércio",C-1,300,Comércio por atacado de motocicletas e motonetas
C-11-2,"Comércio, por atacado de motocicletas e motonetas",C-1,300,Comércio por atacado de motocicletas e motonetas
C-11-3,Comércio por atacado de motocicletas e motonetas,C-1,300,Comércio por atacado de motocicletas e motonetas
C-12-0,Comércio por atacado de peças e acessórios para motocicletas e motonetas,C-1,300,
C-12-1,"por atacado de peças e acessórios para motocicletas e motonetas, Comércio",C-1,300,Comércio por atacado de peças e acessórios para motocicletas e motonetas
C-12-2,"Comércio, por atacado de peças e acessórios para motocicletas e motonetas",C-1,300,Comércio por atacado de peças e acessórios para motocicletas e motonetas
C-12-3,Comércio por atacado de peças e acessórios para motocicletas e motonetas,C-1,300,Comércio por atacado de peças e acessórios para motocicletas e motonetas
C-13-0,Comércio a varejo de motocicletas e motonetas novas,C-1,300,
C-13-1,"a varejo de motocicletas e motonetas novas, Comércio",C-1,300,Comércio a varejo de motocicletas e motonetas novas
C-13-2,"Comércio, a varejo de motocicletas e motonetas novas",C-1,300,Comércio a varejo de motocicletas e motonetas novas
C-13-3,Comércio a varejo de motocicletas e motonetas novas,C-1,300,Comércio a varejo de motocicletas e motonetas novas
C-14-0,Comércio a varejo de motocicletas e motonetas usadas,C-1,300,
C-14-1,"a varejo de motocicletas e motonetas usadas, Comércio",C-1,300,Comércio a varejo de motocicletas e motonetas usadas
C-14-2,"Comércio, a varejo de motocicletas e motonetas usadas",C-1,300,Comércio a varejo de motocicletas e motonetas usadas
C-14-3,Comércio a varejo de motocicletas e motonetas usadas,C-1,300,Comércio a varejo de motocicletas e motonetas usadas
C-15-0,Comércio a varejo de peças e acessórios novos para motocicletas e motonetas,C-1,300,
C-15-1,"a varejo de peças e acessórios novos para motocicletas e motonetas, Comércio",C-1,300,Comércio a varejo de peças e acessórios novos para motocicletas e motonetas
C-15-2,"Comércio, a varejo de peças e acessórios novos para motocicletas e motonetas",C-1,300,Comércio a varejo de peças e acessórios novos para motocicletas e motonetas
C-15-3,Comércio a varejo de peças e acessórios novos para motocicletas e motonetas,C-1,300,Comércio a varejo de peças e acessórios novos para motocicletas e motonetas
C-16-0,Comércio a varejo de peças e acessórios usados para motocicletas e motonetas,C-1,300,
C-16-1,"a varejo de peças e acessórios usados para motocicletas e motonetas, Comércio",C-1,300,Comércio a varejo de peças e acessórios usados para motocicletas e motonetas
C-16-2,"Comércio, a varejo de peças e acessórios usados para motocicletas e motonetas",C-1,300,Comércio a varejo de peças e acessórios usados para motocicletas e motonetas
C-16-3,Comércio a varejo de peças e acessórios usados para motocicletas e motonetas,C-1,300,Comércio a varejo de peças e acessórios usados para motocicletas e motonetas
C-17-0,Comércio sob consignação de motocicletas e motonetas,C-1,300,
C-17-1,"sob consignação de motocicletas e motonetas, Comércio",C-1,300,Comércio sob consignação de motocicletas e motonetas
C-17-2,"Comércio, sob consignação de motocicletas e motonetas",C-1,300,Comércio sob consignação de motocicletas e motonetas
C-17-3,Comércio sob consignação de motocicletas e motonetas,C-1,300,Comércio sob consignação de motocicletas e motonetas
C-18-0,Comércio atacadista de animais vivos,C-1,300,
C-18-1,"atacadista de animais vivos, Comércio",C-1,300,Comércio atacadista de animais vivos
C-18-2,"Comércio, atacadista de animais vivos",C-1,300,Comércio atacadista de animais vivos
C-18-3,Comércio atacadista de animais vivos,C-1,300,Comércio atacadista de animais vivos
C-19-0,Comércio atacadista de fumo em folha não beneficiado,C-1,200,
C-19-1,"atacadista de fumo em folha não beneficiado, Comércio",C-1,200,Comércio atacadista de fumo em folha não beneficiado
C-19-2,"Comércio, atacadista de fumo em folha não beneficiado",C-1,200,Comércio atacadista de fumo em folha não beneficiado
C-19-3,Comércio atacadista de fumo em folha não beneficiado,C-1,200,Comércio atacadista de fumo em folha não beneficiado
C-20-0,"Comércio atacadista de sementes, flores, plantas e gramas",C-1,80,
C-20-1,"atacadista de sementes, flores, plantas e gramas, Comércio",C-1,80,"Comércio atacadista de sementes, flores, plantas e gramas"
C-20-2,"Comércio, atacadista de sementes, flores, plantas e gramas",C-1,80,"Comércio atacadista de sementes, flores, plantas e gramas"
C-20-3,"Comércio atacadista de sementes, flores, plantas e gramas",C-1,80,"Comércio atacadista de sementes, flores, plantas e gramas"
C-21-0,Comércio atacadista de matérias-primas agrícolas com atividade de fracionamento e acondicionamento associada,C-1,200,
C-21-1,"atacadista de matérias-primas agrícolas com atividade de fracionamento e acondicionamento associada, Comércio",C-1,200,Comércio atacadista de matérias-primas agrícolas com atividade de fracionamento e acondicionamento associada
C-21-2,"Comércio, atacadista de matérias-primas agrícolas com atividade de fracionamento e acondicionamento associada",C-1,200,Comércio atacadista de matérias-primas agrícolas com atividade de fracionamento e acondicionamento associada
C-21-3,Comércio atacadista de matérias-primas agrícolas com atividade de fracionamento e acondicionamento associada,C-1,200,Comércio atacadista de matérias-primas agrícolas com atividade de fracionamento e acondicionamento associada
C-22-0,Comércio atacadista de leite e laticínios,C-1,200,
C-22-1,"atacadista de leite e laticínios, Comércio",C-1,200,Comércio atacadista de leite e laticínios
C-22-2,"Comércio, atacadista de leite e laticínios",C-1,200,Comércio atacadista de leite e laticínios
C-22-3,Comércio atacadista de leite e laticínios,C-1,200,Comércio atacadista de leite e laticínios
C-23-0,"Comércio atacadista de frutas, verduras, raízes, tubérculos, hortaliças e legumes frescos",C-1,200,
C-23-1,"atacadista de frutas, verduras, raízes, tubérculos, hortaliças e legumes frescos, Comércio",C-1,200,"Comércio atacadista de frutas, verduras, raízes, tubérculos, hortaliças e legumes frescos"
C-23-2,"Comércio, atacadista de frutas, verduras, raízes, tubérculos, hortaliças e legumes frescos",C-1,200,"Comércio atacadista de frutas, verduras, raízes, tubérculos, hortaliças e legumes frescos"
C-23-3,"Comércio atacadista de frutas, verduras, raízes, tubérculos, hortaliças e legumes frescos",C-1,200,"Comércio atacadista de frutas, verduras, raízes, tubérculos, hortaliças e legumes frescos"
C-24-0,Comércio atacadista de aves vivas e ovos,C-1,300,
C-24-1,"atacadista de aves vivas e ovos, Comércio",C-1,300,Comércio atacadista de aves vivas e ovos
C-24-2,"Comércio, atacadista de aves vivas e ovos",C-1,300,Comércio atacadista de aves vivas e ovos
C-24-3,Comércio atacadista de aves vivas e ovos,C-1,300,Comércio atacadista de aves vivas e ovos
C-25-0,Comércio atacadista de coelhos e outros pequenos animais vivos para alimentação,C-1,300,
C-25-1,"atacadista de coelhos e outros pequenos animais vivos para alimentação, Comércio",C-1,300,Comércio atacadista de coelhos e outros pequenos animais vivos para alimentação
C-25-2,"Comércio, atacadista de coelhos e outros pequenos animais vivos para alimentação",C-1,300,Comércio atacadista de coelhos e outros pequenos animais vivos para alimentação
C-25-3,Comércio atacadista de coelhos e outros pequenos animais vivos para alimentação,C-1,300,Comércio atacadista de coelhos e outros pequenos animais vivos para alimentação
C-26-0,Comércio atacadista de carnes bovinas e suínas e derivados,C-1,40,
C-26-1,"atacadista de carnes bovinas e suínas e derivados, Comércio",C-1,40,Comércio atacadista de carnes bovinas e suínas e derivados
C-26-2,"Comércio, atacadista de carnes bovinas e suínas e derivados",C-1,40,Comércio atacadista de carnes bovinas e suínas e derivados
C-26-3,Comércio atacadista de carnes bovinas e suínas e derivados,C-1,40,Comércio atacadista de carnes bovinas e suínas e derivados
C-27-0,Comércio atacadista de aves abatidas e derivados,C-1,40,
C-27-1,"atacadista de aves abatidas e derivados, Comércio",C-1,40,Comércio atacadista de aves abatidas e derivados
C-27-2,"Comércio, atacadista de aves abatidas e derivados",C-1,40,Comércio atacadista de aves abatidas e derivados
C-27-3,Comércio atacadista de aves abatidas e derivados,C-1,40,Comércio atacadista de aves abatidas e derivados
C-28-0,Comércio atacadista de pescados e frutos do mar,C-1,40,
C-28-1,"atacadista de pescados e frutos do mar, Comércio",C-1,40,Comércio atacadista de pescados e frutos do mar
C-28-2,"Comércio, atacadista de pescados e frutos do mar",C-1,40,Comércio atacadista de pescados e frutos do mar
C-28-3,Comércio atacadista de pescados e frutos do mar,C-1,40,Comércio atacadista de pescados e frutos do mar
C-29-0,Comércio atacadista de carnes e derivados de outros animais,C-1,40,
C-29-1,"atacadista de carnes e derivados de outros animais, Comércio",C-1,40,Comércio atacadista de carnes e derivados de outros animais
C-29-2,"Comércio, atacadista de carnes e derivados de outros animais",C-1,40,Comércio atacadista de carnes e derivados de outros animais
C-29-3,Comércio atacadista de carnes e derivados de outros animais,C-1,40,Comércio atacadista de carnes e derivados de outros animais
C-30-0,Comércio atacadista de água mineral,C-1,80,
C-30-1,"atacadista de água mineral, Comércio",C-1,80,Comércio atacadista de água mineral
C-30-2,"Comércio, atacadista de água mineral",C-1,80,Comércio atacadista de água mineral
C-30-3,Comércio atacadista de água mineral,C-1,80,Comércio atacadista de água mineral
C-31-0,"Comércio atacadista de cerveja, chope e refrigerante",C-1,80,
C-31-1,"atacadista de cerveja, chope e refrigerante, Comércio",C-1,80,"Comércio atacadista de cerveja, chope e refrigerante"
C-31-2,"Comércio, atacadista de cerveja, chope e refrigerante",C-1,80,"Comércio atacadista de cerveja, chope e refrigerante"
C-31-3,"Comércio atacadista de cerveja, chope e refrigerante",C-1,80,"Comércio atacadista de cerveja, chope e refrigerante"
C-32-0,Comércio atacadista de fumo beneficiado,C-1,200,
C-32-1,"atacadista de fumo beneficiado, Comércio",C-1,200,Comércio atacadista de fumo beneficiado
C-32-2,"Comércio, atacadista de fumo beneficiado",C-1,200,Comércio atacadista de fumo beneficiado
C-32-3,Comércio atacadista de fumo beneficiado,C-1,200,Comércio atacadista de fumo beneficiado
C-33-0,Comércio atacadista de sorvetes,C-1,80,
C-33-1,"atacadista de sorvetes, Comércio",C-1,80,Comércio atacadista de sorvetes
C-33-2,"Comércio, atacadista de sorvetes",C-1,80,Comércio atacadista de sorvetes
C-33-3,Comércio atacadista de sorvetes,C-1,80,Comércio atacadista de sorvetes
C-34-0,"Comércio atacadista de instrumentos e materiais para uso médico, cirúrgico, hospitalar e de laboratórios",C-1,300,
C-34-1,"atacadista de instrumentos e materiais para uso médico, cirúrgico, hospitalar e de laboratórios, Comércio",C-1,300,"Comércio atacadista de instrumentos e materiais para uso médico, cirúrgico, hospitalar e de laboratórios"
C-34-2,"Comércio, atacadista de instrumentos e materiais para uso médico, cirúrgico, hospitalar e de laboratórios",C-1,300,"Comércio atacadista de instrumentos e materiais para uso médico, cirúrgico, hospitalar e de laboratórios"
C-34-3,"Comércio atacadista de instrumentos e materiais para uso médico, cirúrgico, hospitalar e de laboratórios",C-1,300,"Comércio atacadista de instrumentos e materiais para uso médico, cirúrgico, hospitalar e de laboratórios"
C-35-0,Comércio atacadista de próteses e artigos de ortopedia,C-1,300,
C-35-1,"atacadista de próteses e artigos de ortopedia, Comércio",C-1,300,Comércio atacadista de próteses e artigos de ortopedia
C-35-2,"Comércio, atacadista de próteses e artigos de ortopedia",C-1,300,Comércio atacadista de próteses e artigos de ortopedia
C-35-3,Comércio atacadista de próteses e artigos de ortopedia,C-1,300,Comércio atacadista de próteses e artigos de ortopedia
C-36-0,Comércio atacadista de produtos odontológicos,C-1,300,
C-36-1,"atacadista de produtos odontológicos, Comércio",C-1,300,Comércio atacadista de produtos odontológicos
C-36-2,"Comércio, atacadista de produtos odontológicos",C-1,300,Comércio atacadista de produtos odontológicos
C-36-3,Comércio atacadista de produtos odontológicos,C-1,300,Comércio atacadista de produtos odontológicos
C-37-0,Comércio atacadista de aparelhos eletrônicos de uso pessoal e doméstico,C-1,300,
C-37-1,"atacadista de aparelhos eletrônicos de uso pessoal e doméstico, Comércio",C-1,300,Comércio atacadista de aparelhos eletrônicos de uso pessoal e doméstico
C-37-2,"Comércio, atacadista de aparelhos eletrônicos de uso pessoal e doméstico",C-1,300,Comércio atacadista de aparelhos eletrônicos de uso pessoal e doméstico
C-37-3,Comércio atacadista de aparelhos eletrônicos de uso pessoal e doméstico,C-1,300,Comércio atacadista de aparelhos eletrônicos de uso pessoal e doméstico
C-38-0,"Comércio atacadista de bicicletas, triciclos e outros veículos recreativos",C-1,200,
C-38-1,"atacadista de bicicletas, triciclos e outros veículos recreativos, Comércio",C-1,200,"Comércio atacadista de bicicletas, triciclos e outros veículos recreativos"
C-38-2,"Comércio, atacadista de bicicletas, triciclos e outros veículos recreativos",C-1,200,"Comércio atacadista de bicicletas, triciclos e outros veículos recreativos"
C-38-3,"Comércio atacadista de bicicletas, triciclos e outros veículos recreativos",C-1,200,"Comércio atacadista de bicicletas, triciclos e outros veículos recreativos"
C-39-0,"Comércio atacadista de lustres, luminárias e abajures",C-1,40,
C-39-1,"atacadista de lustres, luminárias e abajures, Comércio",C-1,40,"Comércio atacadista de lustres, luminárias e abajures"
C-39-2,"Comércio, atacadista de lustres, luminárias e abajures",C-1,40,"Comércio atacadista de lustres, luminárias e abajures"
C-39-3,"Comércio atacadista de lustres, luminárias e abajures",C-1,40,"Comércio atacadista de lustres, luminárias e abajures"
C-40-0,"Comércio atacadista de jóias, relógios e bijuterias, inclusive pedras preciosas e semipreciosas lapidadas",C-1,300,
C-40-1,"atacadista de jóias, relógios e bijuterias, inclusive pedras preciosas e semipreciosas lapidadas, Comércio",C-1,300,"Comércio atacadista de jóias, relógios e bijuterias, inclusive pedras preciosas e semipreciosas lapidadas"
C-40-2,"Comércio, atacadista de jóias, relógios e bijuterias, inclusive pedras preciosas e semipreciosas lapidadas",C-1,300,"Comércio atacadista de jóias, relógios e bijuterias, inclusive pedras preciosas e semipreciosas lapidadas"
C-40-3,"Comércio atacadista de jóias, relógios e bijuterias, inclusive pedras preciosas e semipreciosas lapidadas",C-1,300,"Comércio atacadista de jóias, relógios e bijuterias, inclusive pedras preciosas e semipreciosas lapidadas"
C-41-0,Comércio atacadista de equipamentos de informática,C-1,300,
C-41-1,"atacadista de equipamentos de informática, Comércio",C-1,300,Comércio atacadista de equipamentos de informática
C-41-2,"Comércio, atacadista de equipamentos de informática",C-1,300,Comércio atacadista de equipamentos de informática
C-41-3,Comércio atacadista de equipamentos de informática,C-1,300,Comércio atacadista de equipamentos de informática
C-42-0,Comércio atacadista de suprimentos para informática,C-1,300,
C-42-1,"atacadista de suprimentos para informática, Comércio",C-1,300,Comércio atacadista de suprimentos para informática
C-42-2,"Comércio, atacadista de suprimentos para informática",C-1,300,Comércio atacadista de suprimentos para informática
C-42-3,Comércio atacadista de suprimentos para informática,C-1,300,Comércio atacadista de suprimentos para informática
C-43-0,Comércio atacadista de componentes eletrônicos e equipamentos de telefonia e comunicação,C-1,300,
C-43-1,"atacadista de componentes eletrônicos e equipamentos de telefonia e comunicação, Comércio",C-1,300,Comércio atacadista de componentes eletrônicos e equipamentos de telefonia e comunicação
C-43-2,"Comércio, atacadista de componentes eletrônicos e equipamentos de telefonia e comunicação",C-1,300,Comércio atacadista de componentes eletrônicos e equipamentos de telefonia e comunicação
C-43-3,Comércio atacadista de componentes eletrônicos e equipamentos de telefonia e comunicação,C-1,300,Comércio atacadista de componentes eletrônicos e equipamentos de telefonia e comunicação
C-44-0,"Comércio atacadista de máquinas, aparelhos e equipamentos para uso agropecuário; partes e peças",C-1,300,
C-44-1,"atacadista de máquinas, aparelhos e equipamentos para uso agropecuário; partes e peças, Comércio",C-1,300,"Comércio atacadista de máquinas, aparelhos e equipamentos para uso agropecuário; partes e peças"
C-44-2,"Comércio, atacadista de máquinas, aparelhos e equipamentos para uso agropecuário; partes e peças",C-1,300,"Comércio atacadista de máquinas, aparelhos e equipamentos para uso agropecuário; partes e peças"
C-44-3,"Comércio atacadista de máquinas, aparelhos e equipamentos para uso agropecuário; partes e peças",C-1,300,"Comércio atacadista de máquinas, aparelhos e equipamentos para uso agropecuário; partes e peças"
C-45-0,"Comércio atacadista de máquinas, equipamentos para terraplenagem, mineração e construção; partes e peças",C-1,300,
C-45-1,"atacadista de máquinas, equipamentos para terraplenagem, mineração e construção; partes e peças, Comércio",C-1,300,"Comércio atacadista de máquinas, equipamentos para terraplenagem, mineração e construção; partes e peças"
C-45-2,"Comércio, atacadista de máquinas, equipamentos para terraplenagem, mineração e construção; partes e peças",C-1,300,"Comércio atacadista de máquinas, equipamentos para terraplenagem, mineração e construção; partes e peças"
C-45-3,"Comércio atacadista de máquinas, equipamentos para terraplenagem, mineração e construção; partes e peças",C-1,300,"Comércio atacadista de máquinas, equipamentos para terraplenagem, mineração e construção; partes e peças"
C-46-0,Comércio atacadista de máquinas e equipamentos para uso industrial; partes e peças,C-1,200,
C-46-1,"atacadista de máquinas e equipamentos para uso industrial; partes e peças, Comércio",C-1,200,Comércio atacadista de máquinas e equipamentos para uso industrial; partes e peças
C-46-2,"Comércio, atacadista de máquinas e equipamentos para uso industrial; partes e peças",C-1,200,Comércio atacadista de máquinas e equipamentos para uso industrial; partes e peças
C-46-3,Comércio atacadista de máquinas e equipamentos para uso industrial; partes e peças,C-1,200,Comércio atacadista de máquinas e equipamentos para uso industrial; partes e peças
C-47-0,"Comércio atacadista de máquinas, aparelhos e equipamentos para uso odonto-médico-hospitalar; partes e peças",C-1,200,
C-47-1,"atacadista de máquinas, aparelhos e equipamentos para uso odonto-médico-hospitalar; partes e peças, Comércio",C-1,200,"Comércio atacadista de máquinas, aparelhos e equipamentos para uso odonto-médico-hospitalar; partes e peças"
C-47-2,"Comércio, atacadista de máquinas, aparelhos e equipamentos para uso odonto-médico-hospitalar; partes e peças",C-1,200,"Comércio atacadista de máquinas, aparelhos e equipamentos para uso odonto-médico-hospitalar; partes e peças"
C-47-3,"Comércio atacadista de máquinas, aparelhos e equipamentos para uso odonto-médico-hospitalar; partes e peças",C-1,200,"Comércio atacadista de máquinas, aparelhos e equipamentos para uso odonto-médico-hospitalar; partes e peças"
C-48-0,Comércio atacadista de máquinas e equipamentos para uso comercial; partes e peças,C-1,300,
C-48-1,"atacadista de máquinas e equipamentos para uso comercial; partes e peças, Comércio",C-1,300,Comércio atacadista de máquinas e equipamentos para uso comercial; partes e peças
C-48-2,"Comércio, atacadista de máquinas e equipamentos para uso comercial; partes e peças",C-1,300,Comércio atacadista de máquinas e equipamentos para uso comercial; partes e peças
C-48-3,Comércio atacadista de máquinas e equipamentos para uso comercial; partes e peças,C-1,300,Comércio atacadista de máquinas e equipamentos para uso comercial; partes e peças
C-49-0,Comércio atacadista de bombas e compressores; partes e peças,C-1,200,
C-49-1,"atacadista de bombas e compressores; partes e peças, Comércio",C-1,200,Comércio atacadista de bombas e compressores; partes e peças
C-49-2,"Comércio, atacadista de bombas e compressores; partes e peças",C-1,200,Comércio atacadista de bombas e compressores; partes e peças
C-49-3,Comércio atacadista de bombas e compressores; partes e peças,C-1,200,Comércio atacadista de bombas e compressores; partes e peças
C-50-0,Comércio atacadista de outras máquinas e equipamentos não especificados anteriormente; partes e peças,C-1,300,
C-50-1,"atacadista de outras máquinas e equipamentos não especificados anteriormente; partes e peças, Comércio",C-1,300,Comércio atacadista de outras máquinas e equipamentos não especificados anteriormente; partes e peças
C-50-2,"Comércio, atacadista de outras máquinas e equipamentos não especificados anteriormente; partes e peças",C-1,300,Comércio atacadista de outras máquinas e equipamentos não especificados anteriormente; partes e peças
C-50-3,Comércio atacadista de outras máquinas e equipamentos não especificados anteriormente; partes e peças,C-1,300,Comércio atacadista de outras máquinas e equipamentos não especificados anteriormente; partes e peças
C-51-0,Comércio atacadista de ferragens e ferramentas,C-1,300,
C-51-1,"atacadista de ferragens e ferramentas, Comércio",C-1,300,Comércio atacadista de ferragens e ferramentas
C-51-2,"Comércio, atacadista de ferragens e ferramentas",C-1,300,Comércio atacadista de ferragens e ferramentas
C-51-3,Comércio atacadista de ferragens e ferramentas,C-1,300,Comércio atacadista de ferragens e ferramentas
C-52-0,Comércio atacadista de material elétrico,C-1,300,
C-52-1,"atacadista de material elétrico, Comércio",C-1,300,Comércio atacadista de material elétrico
C-52-2,"Comércio, atacadista de material elétrico",C-1,300,Comércio atacadista de material elétrico
C-52-3,Comércio atacadista de material elétrico,C-1,300,Comércio atacadista de material elétrico
C-53-0,Comércio atacadista de cimento,C-1,40,
C-53-1,"atacadista de cimento, Comércio",C-1,40,Comércio atacadista de cimento
C-53-2,"Comércio, atacadista de cimento",C-1,40,Comércio atacadista de cimento
